City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Patricio,US,28.017,-97.5169,95.72,42,5,11.88,clear sky
80,Flin Flon,CA,54.7682,-101.865,71.44,49,40,3.44,scattered clouds
81,Saint-Pierre,RE,-21.3393,55.4781,65.84,87,75,4.61,light rain
82,Dikson,RU,73.5069,80.5464,37.99,100,100,4.61,overcast clouds
83,Cape Town,ZA,-33.9258,18.4232,60.89,51,0,1.99,clear sky
84,Longyearbyen,SJ,78.2186,15.6401,43.66,83,100,1.01,overcast clouds
85,Kutum,SD,14.2,24.6667,69.31,82,100,10.8,overcast clouds
86,Tucurui,BR,-3.7661,-49.6725,81.28,48,47,3.13,scattered clouds
87,Baft,IR,29.234,56.6057,71.89,23,4,13.8,clear sky
88,Hithadhoo,MV,-0.6,73.0833,80.19,78,96,8.52,overcast clouds
89,Nikolskoye,RU,59.7035,30.7861,64.02,69,10,3.22,clear sky
90,Georgetown,MY,5.4112,100.3354,82.89,88,20,3.0,few clouds
91,Boyolangu,ID,-8.1181,111.8935,71.26,91,64,2.06,broken clouds
92,Thompson,CA,55.7435,-97.8558,71.76,33,40,11.5,scattered clouds
93,Batagay,RU,67.6333,134.6333,59.38,74,65,11.48,broken clouds
94,Vaini,TO,-21.2,-175.2,77.16,88,75,10.36,broken clouds
95,Ostrovnoy,RU,68.0531,39.5131,45.99,85,100,23.51,overcast clouds
96,East London,ZA,-33.0153,27.9116,63.64,26,100,11.9,overcast clouds
97,Klaksvik,FO,62.2266,-6.589,54.52,99,100,7.31,overcast clouds
98,Mount Hagen,PG,-5.8581,144.2274,59.76,94,75,0.0,fog
99,Itoman,JP,26.1247,127.6694,82.42,89,75,11.5,broken clouds
100,Husavik,IS,66.0449,-17.3389,53.51,81,77,3.49,broken clouds
101,Adrar,MR,20.5022,-10.0711,93.18,17,2,15.9,clear sky
102,Hearst,CA,49.6835,-83.6665,71.85,85,55,4.63,broken clouds
103,Dunedin,NZ,-45.8742,170.5036,49.01,68,79,8.88,broken clouds
104,Wukari,NG,7.85,9.7833,73.36,80,100,3.11,overcast clouds
105,Severo-Kurilsk,RU,50.6789,156.125,59.58,89,100,6.02,overcast clouds
106,Balabac,PH,7.9868,117.0645,84.09,78,91,14.72,overcast clouds
107,Namatanai,PG,-3.6667,152.4333,82.81,69,38,4.25,scattered clouds
108,Aleksandrov Gay,RU,50.147,48.5704,67.87,39,2,7.4,clear sky
109,New Norfolk,AU,-42.7826,147.0587,51.93,85,100,1.99,light rain
110,Puri,IN,19.8,85.85,82.92,79,100,9.33,overcast clouds
111,Ponta Do Sol,PT,32.6667,-17.1,74.03,79,6,7.96,clear sky
112,Chokurdakh,RU,70.6333,147.9167,43.79,69,96,12.33,overcast clouds
113,Vytegra,RU,61.0064,36.4481,57.52,90,30,3.8,scattered clouds
114,Cayenne,GF,4.9333,-52.3333,82.09,81,0,4.0,clear sky
115,Flinders,AU,-34.5833,150.8552,62.38,67,79,1.01,broken clouds
116,Puerto Leguizamo,CO,-0.1934,-74.7819,74.57,91,60,0.67,broken clouds
117,Chuy,UY,-33.6971,-53.4616,48.18,82,62,9.73,broken clouds
118,Portree,GB,57.4129,-6.1942,58.51,91,82,4.12,broken clouds
119,Changde,CN,29.0464,111.6783,78.84,85,0,3.58,clear sky
120,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,46,7.0,scattered clouds
121,Riga,LV,57.0,24.0833,71.67,60,0,4.61,clear sky
122,Vardo,NO,70.3705,31.1107,46.42,86,57,9.22,broken clouds
123,Weligama,LK,5.9667,80.4167,79.07,88,93,10.63,overcast clouds
124,Upernavik,GL,72.7868,-56.1549,44.15,81,100,4.9,light rain
125,Buenos Aires,AR,-34.6132,-58.3772,55.13,45,0,3.44,clear sky
126,Port Blair,IN,11.6667,92.75,81.66,85,100,19.08,overcast clouds
